"Variable","Importance"
"v243_cs",21.0656178514546
"v243_cs_DE1",0.160860228427046
"v243_cs_DE2",-0.426785744628526
"v243_cs_DE3",-0.246813336149127
"v243_cs_GB1",0.445257740136741
"v243_cs_GB2",-0.173281072345371
"v244",6.60589649856682
"v245",8.16117597034254
"v246_ISCO_2",5.79682493732465
"v246_SIOPS",9.43020660051432
"v246_ISEI",9.96203443631381
"v246_ESeC",6.78712105445822
"v246_egp",7.74445023754001
"v247",-0.344195732953314
"v248",5.59509560399605
"v248a",1.07470835010471
"v249",8.77995077373643
"v250",3.35846958208965
"v251b",2.89238902556282
"v251b_r",-0.0746474812049602
"v252_edulvlb",6.47640162124246
"f252_edulvlb_CH",6.27569093363154
"v252_edulvlb_2",7.69981045332811
"v252_edulvlb_1",5.72401514197384
"v252_ISCED_3",6.78136626645954
"v252_ISCED_2",5.5833851769801
"v252_ISCED_2b",6.29866146875295
"v252_ISCED_1",8.01283037499016
"v252_EISCED",9.60847584088398
"v252_ISCED97",5.32250037107193
"v252_8cat",4.98558859887099
"v252_r",6.10596099661617
"v252_cs",17.4142267668587
"v252_cs_DE1",-1.58446514128207
"v252_cs_DE2",0.407819388217054
"v252_cs_DE3",-1.66702587849858
"v252_cs_GB1",0.838081146539456
"v252_cs_GB2",-0.0609017162682237
"v253",6.75094927968255
"v254",3.97528699594554
"v255_ISCO_2",6.9894907231238
"v255_SIOPS",8.16902750967222
"v255_ISEI",8.49883957517351
"v255_ESeC",5.66177900399692
"v255_egp",6.02260211647577
"v256",2.83672383060254
"v257",4.75274627755758
"v258",1.91344000575132
"v259",5.64691528042595
"v260",3.60519908047066
"v261",9.30739812838763
"v261_ppp",15.9912401339503
"v261_r",6.33813328811865
"v262_edulvlb",10.7790697715168
"v262_edulvlb_2",9.68575357322181
"v262_edulvlb_1",7.8014934392889
"v262_ISCED_3",9.12454850308446
"v262_ISCED_2",9.64888889835402
"v262_ISCED_2b",7.43419425414941
"v262_ISCED_1",9.58754736039732
"v262_EISCED",8.28766675578848
"v262_ISCED97",8.30755646776394
"v262_8cat",9.39539930952684
"v262_r",5.3783424779059
"v262_cs",19.5327961893469
"v262_cs_DE1",-1.36734251415332
"v262_cs_DE2",-0.0595209025692149
"v262_cs_DE3",-0.963466311410665
"v262_cs_GB1",-0.994403470695176
"v262_cs_GB2",1.67340931864316
